Product,Url,Img,Price,Old Price,Status,Specs
Laptop ASUS Zenbook 14 OLED UX3405MA PP152W,https://gearvn.com/products/laptop-asus-zenbook-14-oled-ux3405ma-pp152w,https://product.hstatic.net/200000722513/product/ava_85f0a13f59c24412a311436fd2b3efc7.png,31990000,34990000,còn hàng,"CPU: Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU|| RAM: 32GB LPDDR5X on board Dual-channel (Không nâng cấp)|| Ổ cứng: 1TB M.2 NVMe™ PCIe® 4.0 SSD|| Card đồ họa: Intel® Arc™ Graphics|| Màn hình: 14.0-inch 3K (2880 x 1800) OLED 16:10, LED Backlit, 0.2ms, 120Hz, 400nits, 600nits HDR peak brightness, 100% DCI-P3, Glossy display, Tỷ lệ màn hình trên thân máy 87%|| Cổng kết nối: 1x USB 3.2 Gen 1 Type-A2x Thunderbolt™ 4 supports display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio Jack|| Bàn phím: Support NumberPadBacklit Chiclet Keyboard|| Webcam: FHD camera with IR function to support Windows Hello ; With privacy shutter|| Audio: Harman/Kardon (Premium)|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3|| Pin: 75WHrs, 2S2P, 4-cell Li-ion|| Hệ điều hành: Windows 11 Home|| Trọng lượng: 1.20 kg|| Màu sắc: Ponder Blue|| Kích thước: 31.24 x 22.01 x 1.49 ~ 1.49 cm"
Laptop ASUS Zenbook 14 OLED UX3405MA PP475W,https://gearvn.com/products/laptop-asus-zenbook-14-oled-ux3405ma-pp475w,https://product.hstatic.net/200000722513/product/ava_550f6a9b7afc47b281a9d915ab38bf51.png,34990000,36990000,hết hàng,"CPU: Intel® Core™ Ultra 9 Processor 185H 2.3 GHz (24MB Cache, up to 5.1 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU|| RAM: 32GB LPDDR5X on board Dual-channel (Không nâng cấp)|| Ổ cứng: 1TB M.2 NVMe™ PCIe® 4.0 SSD|| Card đồ họa: Intel® Arc™ Graphics|| Màn hình: 14.0-inch 3K (2880 x 1800) OLED 16:10, LED Backlit, 0.2ms, 120Hz, 400nits, 600nits HDR peak brightness, 100% DCI-P3, Glossy display, Tỷ lệ màn hình trên thân máy 87%|| Cổng kết nối: 1x USB 3.2 Gen 1 Type-A2x Thunderbolt™ 4 supports display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio Jack|| Bàn phím: Support NumberPadBacklit Chiclet Keyboard|| Webcam: FHD camera with IR function to support Windows Hello ; With privacy shutter|| Audio: Harman/Kardon (Premium)|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3|| Pin: 75WHrs, 2S2P, 4-cell Li-ion|| Hệ điều hành: Windows 11 Home|| Trọng lượng: 1.20 kg|| Màu sắc: Ponder Blue|| Kích thước: 31.24 x 22.01 x 1.49 ~ 1.49 cm"
Laptop ASUS Vivobook S 16 OLED S5606MA MX051W,https://gearvn.com/products/laptop-asus-vivobook-s-16-oled-s5606ma-mx051w,https://product.hstatic.net/200000722513/product/s-vivobook-s-16-oled-s5606ma-mx051w_0_075da8498daf4093b32f27312f486e35_22c77e392c85463e9afcd214f581101f.png,28990000,29990000,còn hàng,"CPU: Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU|| RAM: 16GB LPDDR5X Onboard 7467Mhz|| Ổ cứng: 512GB M.2 NVMe™ PCIe® 4.0 SSD|| VGA: Intel® Arc™ Graphics|| Màn hình: 16"" 3.2K (3200 x 2000) OLED 16:10 aspect ratio, 120Hz refresh rate, 600nits HDR peak brightness, 100% DCI-P3 color gamut, Gamut mapping, Contrast ratio 1,000,000:1, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy display, 70% less harmful blue light, Screen-to-body ratio: 83％, TÜV Rheinland-certified|| Cổng giao tiếp: 2x Thunderbolt™ 4 supports display / power delivery2x USB 3.2 Gen 1 Type-A1x HDMI 2.1 TMDS1x 3.5mm Combo Audio Jack Micro SD card readerMicro SD card reader|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB without Num-key With Copilot key|| Audio: Harman/Kardon|| Đọc thẻ nhớ: None|| Chuẩn LAN: None"
Laptop ASUS Vivobook S 14 OLED S5406MA PP136W,https://gearvn.com/products/laptop-asus-vivobook-s-14-oled-s5406ma-pp136w,https://product.hstatic.net/200000722513/product/s-vivobook-s-14-oled-s5406ma-pp136w_0_12e0e03b105e4bac9d0de1bb126d0d50_48f2afba9bcd45448c3d127900253d8c.png,25990000,26990000,còn hàng,"CPU: Intel® Core™ Ultra 5 Processor 125H 1.2 GHz (18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads); Intel® AI Boost NPU|| RAM: 16GB LPDDR5X Onboard 7467Mhz|| Ổ cứng: 1TB M.2 NVMe™ PCIe® 4.0 SSD|| VGA: Intel® Arc™ Graphics|| Màn hình: 14"" 3K (2880 x 1800) OLED 16:10 aspect ratio, 120Hz refresh rate, 600nits HDR peak brightness, 100% DCI-P3 color gamut, Gamut mapping, Contrast ratio 1,000,000:1, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy display, 70% less harmful blue light, Screen-to-body ratio: 87％|| Cổng giao tiếp: 2x Thunderbolt™ 4 supports display / power delivery2x USB 3.2 Gen 1 Type-A1x HDMI 2.1 TMDS1x 3.5mm Combo Audio Jack Micro SD card reader|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB without Num-key With Copilot key|| Audio: Harman/Kardon|| Đọc thẻ nhớ: None|| Chuẩn LAN: None"
Laptop ASUS Zenbook Duo OLED UX8406MA PZ307W,https://gearvn.com/products/laptop-asus-zenbook-duo-oled-ux8406ma-pz307w,https://product.hstatic.net/200000722513/product/7_27_a3f6dfa7a8854d958953ad81268880d2.png,45990000,49990000,còn hàng,"CPU: Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU"
Laptop ASUS Zenbook Duo OLED UX8406MA PZ142W,https://gearvn.com/products/laptop-asus-zenbook-duo-oled-ux8406ma-pz142w,https://product.hstatic.net/200000722513/product/ux8406ma-pz142w_new_1_323777fbd2ea4f788f45c1165ed81427.jpg,58990000,59990000,hết hàng,"CPU: Intel® Core™ Ultra 9 Processor 185H 2.3 GHz (24MB Cache, up to 5.1 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU"
Laptop ASUS Vivobook 14 OLED A1405VA KM257W,https://gearvn.com/products/laptop-asus-vivobook-14-oled-a1405va-km257w,https://product.hstatic.net/200000722513/product/ava_5f33a58696534aeca3ce0784606ddae1.png,17490000,20990000,còn hàng,"CPU: Bộ xử lý Intel® Core™ i5-13500H 2,6 GHz (Bộ nhớ đệm 18 MB, tối đa 4,7 GHz, 12 lõi, 16 luồng)|| ĐẬP: 16GB (8GB tích hợp + 8GB Sodimm) DDR4 3200MHz || Ổ cứng: SSD 512GB M.2 NVMe™ PCIe® 3.0 (1 khe cắm, hỗ trợ M.2 2280 PCIe 3.0x4)|| VGA: Đồ họa Intel Iris Xe (có bộ nhớ kênh đôi)|| Màn hình: OLED 14"" 2,8K (2880 x 1800) 16:10, 90Hz 0,2ms, 600nit, 100% DCI-P3, Màn hình bóng, Tỷ lệ màn hình so với thân máy: 86%, Đã xác thực PANTONE, Màn hình VESA CERTIFIED HDR True Black 600|| Cổng tiếp theo: 1x USB 3.2 Gen 1 Type-C hỗ trợ cấp nguồn2x USB 3.2 thế hệ 1 Loại A1x USB 2.0 Loại A1xHDMI 1.4Giắc âm thanh kết hợp 1x3,5mm1x đầu vào DC|| Keyboard: Bàn phím Chiclet|| Âm thanh: SonicMaster|| Đọc thẻ nhớ: Không có|| Mạng LAN chuẩn: Không có"
Laptop ASUS Vivobook 15 OLED A1505VA L1491W,https://gearvn.com/products/laptop-asus-vivobook-15-oled-a1505va-l1491w,https://product.hstatic.net/200000722513/product/ava_0e26d8eaa978453da0b0265dae628ff7.png,19490000,22990000,còn hàng,"CPU: Intel® Core™ i7-13700H Processor 2.4 GHz (24MB Cache, up to 5.0 GHz, 14 cores, 20 Threads)|| RAM: 16GB (8GB Onboard + 8GB Sodimm) DDR4 3200MHz || Ổ cứng: 512GB M.2 NVMe™ PCIe® 3.0 SSD (1 slot, support M.2 2280 PCIe 3.0x4)|| VGA: Intel Iris Xe Graphics (with dual channel memory)|| Màn hình: 15.6"" FHD (1920 x 1080) OLED 16:9 aspect ratio, 60Hz 0.2ms, 600nits, 100% DCI-P3, Glossy display, Screen-to-body ratio: 86%, PANTONE Validated, VESA CERTIFIED Display HDR True Black 600|| Cổng giao tiếp: 1x USB 3.2 Gen 1 Type-C support power delivery2x USB 3.2 Gen 1 Type-A1x USB 2.0 Type-A1x HDMI 1.41x 3.5mm Combo Audio Jack1x DC-in|| Bàn phím: Chiclet Keyboard with Num-key|| Audio: SonicMaster|| Chuẩn LAN: None"
Laptop ASUS Expertbook B1 B1402CBA NK1535W,https://gearvn.com/products/laptop-asus-expertbook-b1-b1402cba-nk1535w,https://product.hstatic.net/200000722513/product/ava-ram_863c9480f35e4e0cb8c8af3cee6010dd.png,9490000,14590000,còn hàng,"CPU: Intel® Core™ i3-1215U Processor 1.2 GHz (10M Cache, up to 4.4 GHz, 6 cores)|| Ram: 8GB DDR4 3200MHz (8GB onboard + 1 slot, nâng cấp tối đa 16GB)|| Ổ cứng: 256GB PCIE G3 SSD (1 khe M.2 2280 PCIe 4.0x4 đã gắn, nâng cấp tối đa 2TB)|| Card đồ họa: Intel® UHD Graphics|| Màn hình: 14.0-inch, FHD (1920 x 1080) 16:9, TN, Màn hình chống chói, Đèn nền LED, 220nits, NTSC: 45%, Tỷ lệ màn hình trên kích thước: 81%|| Cổng giao tiếp: 1x USB 2.0 Type-A1x USB 3.2 Thế hệ 1 Type-A1x USB 3.2 Gen 1 Type-C hỗ trợ sạc chuẩn Power Delivery1x USB 3.2 thế hệ 2 Type-C hỗ trợ màn hình / sạc nhanh1x HDMI 1.4, lên đến 1920x1080/60Hz1 Jack cắm âm thanh combo 3.5mm1x RJ45 Gigabit Ethernet|| Bàn phím: Bàn phím dạng Chiclet, Hành trình phím 1,4mm, Bàn phím chống tràn đổ|| Chuẩn LAN: 100/1000M|| Chuẩn WIFI: Wi-Fi 6(802.11ax) (Dual band) 2*2|| Bluetooth: Bluetooth® 5.2 Wireless Card|| Webcam: Camera HD 720pVới tấm che webcam vật lý|| Hệ điều hành: Windows 11 Home|| Pin: 42WHrs, 3S1P, 3-cell Li-ion|| Trọng lượng: 1.49 kg|| Màu sắc: Đen Tinh Tú|| Kích thước: 32.69 x 21.45 x 1.99 ~ 1.99 cm (12.87"" x 8.44"" x 0.78"" ~ 0.78"")"
Laptop ASUS Zenbook 14 OLED UX3405MA PP588W,https://gearvn.com/products/laptop-asus-zenbook-14-oled-ux3405ma-pp588w,https://product.hstatic.net/200000722513/product/ux3405ma-pp588w_zenbook_ai_b097c88019d44a789e70d8fa49fc91ef.jpg,27490000,28990000,còn hàng,"CPU: Intel® Core™ Ultra 5 Processor 125H 1.2 GHz (18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads)|| RAM: 16GB LPDDR5X on board Dual-channel (Không nâng cấp)|| Ổ cứng: 512GB M.2 NVMe™ PCIe® 4.0 SSD|| Card đồ họa: Intel® Arc™ Graphics|| Màn hình: 14.0-inch 3K (2880 x 1800) OLED 16:10, LED Backlit, 0.2ms, 120Hz, 400nits, 600nits HDR peak brightness, 100% DCI-P3, Glossy display, Tỷ lệ màn hình trên thân máy 87%|| Cổng kết nối: 1x USB 3.2 Gen 1 Type-A2x Thunderbolt™ 4 supports display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio Jack|| Bàn phím: Support NumberPadBacklit Chiclet Keyboard|| Webcam: FHD camera with IR function to support Windows Hello ; With privacy shutter|| Audio: Harman/Kardon (Premium)|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3|| Pin: 75WHrs, 2S2P, 4-cell Li-ion|| Hệ điều hành: Windows 11 Home|| Trọng lượng: 1.20 kg|| Màu sắc: Foggy Silver|| Kích thước: 31.24 x 22.01 x 1.49 ~ 1.49 cm"
Laptop ASUS Zenbook 14 OLED UX3405MA PP151W,https://gearvn.com/products/laptop-asus-zenbook-14-oled-ux3405ma-pp151w,https://product.hstatic.net/200000722513/product/ux3405ma-pp151w_zenbook_ai_f61c0a3d9e6b45879ccc0213653fc56b.jpg,26490000,28990000,còn hàng,"CPU: Intel® Core™ Ultra 5 Processor 125H 1.2 GHz (18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads)|| RAM: 16GB LPDDR5X on board Dual-channel (Không nâng cấp)|| Ổ cứng: 512GB M.2 NVMe™ PCIe® 4.0 SSD|| Card đồ họa: Intel® Arc™ Graphics|| Màn hình: 14.0-inch 3K (2880 x 1800) OLED 16:10, LED Backlit, 0.2ms, 120Hz, 400nits, 600nits HDR peak brightness, 100% DCI-P3, Glossy display, Tỷ lệ màn hình trên thân máy 87%|| Cổng kết nối: 1x USB 3.2 Gen 1 Type-A2x Thunderbolt™ 4 supports display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio Jack|| Bàn phím: Support NumberPadBacklit Chiclet Keyboard|| Webcam: FHD camera with IR function to support Windows Hello ; With privacy shutter|| Audio: Harman/Kardon (Premium)|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3|| Pin: 75WHrs, 2S2P, 4-cell Li-ion|| Hệ điều hành: Windows 11 Home|| Trọng lượng: 1.20 kg|| Màu sắc: Ponder Blue|| Kích thước: 31.24 x 22.01 x 1.49 ~ 1.49 cm"
Laptop ASUS Zenbook 14 OLED UM3402YA KM405W,https://gearvn.com/products/laptop-asus-zenbook-14-oled-um3402ya-km405w,https://product.hstatic.net/200000722513/product/um3402ya-km405w_76e67c0074d744718702784cd113f4aa.png,20990000,24990000,còn hàng,"CPU: AMD Ryzen™ 5 7530U Mobile Processor 2.0GHz (6-core/12-thread, 16MB cache, up to 4.5 GHz max boost)|| RAM: 16GB LPDDR4X on board (Không nâng cấp)|| Ổ cứng: 512GB M.2 NVMe™ PCIe® 3.0 SSD|| Card đồ họa: AMD Radeon™ Graphics|| Màn hình: 14-inch 2.8K (2880 x 1800) OLED 16:10 aspect ratio, 90Hz refresh rate, 600nits peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy display, Screen-to-body ratio: 90％|| Cổng kết nối: 1x USB 3.2 Gen 2 Type-A2x USB 3.2 Gen 2 Type-C support display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio JackMicro SD card reader|| Bàn phím: Backlit Chiclet Keyboard|| Webcam: 1080p FHD camera|| Audio: Harman/Kardon (Premium)|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card|| Pin: 4 Cells 75WHrs|| Hệ điều hành: Windows 11 Home|| Trọng lượng: 1.39 kg|| Màu sắc: Jade Black|| Kích thước: 31.36 x 22.06 x 1.69 ~ 1.69 cm "
Laptop ASUS Vivobook 16 M1605YA MB303W,https://gearvn.com/products/laptop-asus-vivobook-16-m1605ya-mb303w,https://product.hstatic.net/200000722513/product/ava_cfdad38df2384d0f86ab45a7bfaca057.png,13990000,18490000,còn hàng,"CPU: AMD Ryzen™ 7 7730U Mobile Processor 2.0GHz (8-core/16-thread, 16MB cache, up to 4.5 GHz max boost)"
Laptop ASUS Zenbook 14 OLED UX3402VA KM068W,https://gearvn.com/products/laptop-asus-zenbook-14-oled-ux3402va-km068w,https://product.hstatic.net/200000722513/product/ux3402_a2619c42064844baa32f829f9ca427bf.gif,27990000,31990000,còn hàng,"CPU: Intel Core i7-1360P 2.2GHz up to 5.0GHz 18MB|| RAM: 16GB LPDDR5 Onboard 4800 MHz (Không nâng cấp)|| Ổ cứng: 512GB M.2 NVMe™ PCIe® 4.0 SSD|| Card đồ họa: Intel Iris Xe Graphics|| Màn hình: 14-inch WQXGA+ (2880 x 1800) OLED 16:10 aspect ratio, 90Hz refresh rate, 600nits peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy display, Screen-to-body ratio: 90％|| Cổng kết nối: 1x USB 3.2 Gen 2 Type-A2x Thunderbolt™ 4 supports display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio JackMicro SD card reader|| Bàn phím: Support NumberPadBacklit Chiclet Keyboard|| Webcam: 1080p FHD camera|| Audio: Harman/Kardon (Premium)|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth v5.2|| Pin: 4 Cells 75WHrs|| Hệ điều hành: Windows 11 Home|| Trọng lượng: 1.39 kg|| Màu sắc: Ponder Blue|| Kích thước: 31.36 x 22.06 x 1.69 (cm)"
Laptop Asus ZenBook Flip OLED UP3404VA KN038W,https://gearvn.com/products/laptop-asus-zenbook-flip-oled-up3404va-kn038w,https://product.hstatic.net/200000722513/product/kn039-038w_1f813f55348341e7a0a257e1d7f2128b.png,25990000,29990000,còn hàng,"CPU: Intel® Core™ i5-1340P Processor 1.9 GHz (12MB Cache, up to 4.6 GHz, 12 cores, 16 Threads), Intel® Evo™ Platform|| RAM: 16GB LPDDR5 onboard (không nâng cấp)|| Ổ cứng: 512GB M.2 NVMe™ PCIe® 4.0 SSD|| Card đồ họa: Intel Iris Xe Graphics|| Màn hình: 14.0-inch, WQXGA+ (2880 x 1800) OLED 16:10, 90Hz refresh rate, 550nits, 0.2ms response time 100% DCI-P3, PANTONE Validated, Touch screen, With stylus support, Screen-to-body ratio: 87 ％|| Cổng kết nối: 1x USB 3.2 Gen 2 Type-A2x Thunderbolt™ 4 supports display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio Jack|| Bàn phím: Support NumberPadBacklit Chiclet Keyboard|| Camera: FHD camera with IR function to support Windows Hello|| Audio: Harman/kardon (Premium) with Cortana and Alexa voice-recognition support|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth 5.2|| Pin: 75WHrs, 3S1P, 3-cell Li-ion|| Hệ điều hành: Windows 11 Home|| Trọng lượng: 1.5 kg|| Màu sắc: Ponder Blue|| Kích thước: 31.15 x 22.34 x 1.59 ~ 1.59 cm"
Laptop Asus ZenBook Flip OLED UP3404VA KN039W,https://gearvn.com/products/laptop-asus-zenbook-flip-oled-up3404va-kn039w,https://product.hstatic.net/200000722513/product/kn039-038w_abb468763fe247e5954f006769534311.png,29490000,33990000,còn hàng,"CPU: Intel® Core™ i7-1360P Processor 2.2 GHz (18MB Cache, up to 5.0 GHz, 12 cores, 16 Threads)|| RAM: 16GB LPDDR5 onboard (không nâng cấp)|| Ổ cứng: 512GB M.2 NVMe™ PCIe® 4.0 SSD|| Card đồ họa: Intel Iris Xe Graphics|| Màn hình: 14.0-inch, 2.8K (2880 x 1800) OLED 16:10, 90Hz refresh rate, 550nits, 100% DCI-P3, PANTONE Validated, Touch screen, With stylus support, Screen-to-body ratio: 87 ％|| Cổng kết nối: 1x USB 3.2 Gen 2 Type-A2x Thunderbolt™ 4 supports display / power delivery1x HDMI 2.0b1x 3.5mm Combo Audio Jack|| Bàn phím: Support NumberPadBacklit Chiclet Keyboard|| Camera: 720p HD camera With privacy shutter|| Audio: Harman/kardon (Premium) with Cortana and Alexa voice-recognition support|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth 5.2|| Pin: 75WHrs, 3S1P, 3-cell Li-ion|| Hệ điều hành: Windows 11 Home|| Trọng lượng: 1.5 kg|| Màu sắc: Ponder Blue|| Kích thước: 31.10 x 22.30 x 1.59 ~ 1.59 cm"
Laptop ASUS Vivobook S 14 Flip TN3402YA LZ192W,https://gearvn.com/products/laptop-asus-vivobook-s-14-flip-tn3402ya-lz192w,https://product.hstatic.net/200000722513/product/lz192w_c45106edd00c4299b668339e8f0edf73.png,15790000,18990000,còn hàng,"CPU: AMD Ryzen™ 5 7530U Mobile Processor (6-core/12-thread, 16MB cache, up to 4.3 GHz max boost)|| RAM: 16GB (8GB Onboard + 8GB) DDR4 3200MHz (1x SO-DIMM socket, up to 16GB SDRAM)|| Ổ cứng: 512GB SSD M.2 PCIE G3X4|| Card đồ họa: AMD Radeon™ Graphics|| Màn hình: 14"" WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, IPS-level Panel, 60Hz, 300nits, 45% NTSC color gamut, Glossy display, TÜV Rheinland-certified, Touch screen, Screen-to-body ratio: 85 ％|| Bàn phím : LED Backlit|| Audio: Harman/Kardon || Kết nối có dây (LAN): None|| Kết nối không dây: Wi-Fi 6E(802.11ax) (Dual band) (2x2), Bluetooth v5.0|| Webcam: 1080p FHD camera With privacy shutter|| Cổng kết nối: 1x USB 2.0 Type-A1x USB 3.2 Gen 2 Type-A1x USB 3.2 Gen 2 Type-C support display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio Jack1x DC-in|| Hệ điều hành: Windows 11 Home"
Laptop Asus VivoBook 14X OLED S3405VA KM071W,https://gearvn.com/products/laptop-asus-vivobook-14x-oled-s3405va-km071w,https://product.hstatic.net/200000722513/product/km071w_3939d0a7257f487f8744fc05f8000b23_ae643e4ac36d4127b8daba8623683565.png,22990000,26990000,hết hàng,"CPU: Intel® Core™ i9-13900H Processor 2.6 GHz (24MB Cache, up to 5.4 GHz, 14 cores, 20 Threads)"
Laptop ASUS Zenbook 14 OLED UX3402VA KM085W,https://gearvn.com/products/laptop-asus-zenbook-14-oled-ux3402va-km085w,https://product.hstatic.net/200000722513/product/ux3402_a2619c42064844baa32f829f9ca427bf_large_3438f2f4a5db4ac89aeef5cd001564e1.gif,23490000,27990000,còn hàng,"CPU: Intel® Core™ i5-1340P Processor 1.9 GHz (12MB Cache, up to 4.6 GHz, 12 cores, 16 Threads)|| RAM: 16GB LPDDR5 Onboard 4800 MHz (Không nâng cấp)|| Ổ cứng: 512GB M.2 NVMe™ PCIe® 4.0 SSD|| Card đồ họa: Intel Iris Xe Graphics|| Màn hình: 14-inch WQXGA+ (2880 x 1800) OLED 16:10 aspect ratio, 90Hz refresh rate, 600nits peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy display, Screen-to-body ratio: 90％|| Cổng kết nối: 1x USB 3.2 Gen 2 Type-A2x Thunderbolt™ 4 supports display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio JackMicro SD card reader|| Bàn phím: Support NumberPadBacklit Chiclet Keyboard|| Webcam: 1080p FHD camera|| Audio: Harman/Kardon (Premium)|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth v5.2|| Pin: 4 Cells 75WHrs|| Hệ điều hành: Windows 11 Home|| Trọng lượng: 1.39 kg|| Màu sắc: Ponder Blue|| Kích thước: 31.36 x 22.06 x 1.69 ~ 1.69 (cm)"
Laptop Asus Vivobook 15 OLED A1505VA L1114W,https://gearvn.com/products/laptop-asus-vivobook-15x-oled-a1505va-l1114w,https://product.hstatic.net/200000722513/product/l1114w_d4ba027ab6bb4752a41a776ffefd1e54.png,17490000,20990000,còn hàng,"CPU: Intel® Core™ i5-13500H Processor 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 cores, 16 Threads)|| RAM: 16GB (8GB Onboard + 8GB Sodimm) DDR4 3200MHz || Ổ cứng: 512GB M.2 NVMe™ PCIe® 3.0 SSD (1 slot, support M.2 2280 PCIe 3.0x4)|| VGA: Intel Iris Xe Graphics (with dual channel memory)|| Màn hình: 15.6"" FHD (1920 x 1080) OLED 16:9 aspect ratio, 60Hz 0.2ms, 600nits, 100% DCI-P3, Glossy display, Screen-to-body ratio: 86%, PANTONE Validated, VESA CERTIFIED Display HDR True Black 600|| Cổng giao tiếp: 1x USB 3.2 Gen 1 Type-C support power delivery2x USB 3.2 Gen 1 Type-A1x USB 2.0 Type-A1x HDMI 1.41x 3.5mm Combo Audio Jack1x DC-in|| Bàn phím: Chiclet Keyboard with Num-key|| Audio: SonicMaster|| Đọc thẻ nhớ: None|| Chuẩn LAN: None"
Laptop ASUS VivoBook Pro 16X OLED K6602VV MX077W,https://gearvn.com/products/laptop-asus-vivobook-pro-16x-oled-k6602vv-mx077w,https://product.hstatic.net/200000722513/product/mx077w_bb5af57433f946a194c27cd0bed4616d_c512d8daf6204fe6a7e22c015d4e86ed.png,43990000,48990000,hết hàng,"CPU: Intel® Core™ i9-13900H Processor 2.6 GHz (24MB Cache, up to 5.4 GHz, 14 cores, 20 Threads)"
Laptop ASUS VivoBook Pro 14 OLED K3405VC KM006W,https://gearvn.com/products/laptop-asus-vivobook-pro-14-oled-k3405vc-km006w,https://product.hstatic.net/200000722513/product/km006w_455f8f182ae142948b7b1b0a05f352cd_5d7f19358ebd490483236c2534a820ce.png,26490000,29990000,hết hàng,"CPU: Intel® Core™ i5-13500H Processor 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 cores, 16 Threads)"
Laptop ASUS Zenbook 14 OLED UX3402VA KM203W,https://gearvn.com/products/laptop-asus-zenbook-14-oled-ux3402va-km203w,https://product.hstatic.net/200000722513/product/km203w_344a750d654a45099b3da33db79ac173.png,23990000,27990000,còn hàng,"CPU: Intel® Core™ i5-1340P Processor 1.9 GHz (12MB Cache, up to 4.6 GHz, 12 cores, 16 Threads)|| RAM: 16GB LPDDR5 Onboard 4800 MHz (Không nâng cấp)|| Ổ cứng: 512GB M.2 NVMe™ PCIe® 4.0 SSD|| Card đồ họa: Intel Iris Xe Graphics|| Màn hình: 14-inch WQXGA+ (2880 x 1800) OLED 16:10 aspect ratio, 90Hz refresh rate, 600nits peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, Glossy display, Screen-to-body ratio: 90％|| Cổng kết nối: 1x USB 3.2 Gen 2 Type-A2x Thunderbolt™ 4 supports display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio JackMicro SD card reader|| Bàn phím: Support NumberPadBacklit Chiclet Keyboard|| Webcam: 1080p FHD camera|| Audio: Harman/Kardon (Premium)|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth v5.2|| Pin: 4 Cells 75WHrs|| Hệ điều hành: Windows 11 Home|| Trọng lượng: 1.39 kg|| Màu sắc: Foggy Silver|| Kích thước: 31.36 x 22.06 x 1.69 ~ 1.69 (cm)"
